x,y,something
-77.3580851,39.5304058,0
-77.3580824,39.5303933,0
-77.3580824,39.5303799,0
-77.3580797,39.5303675,0
-77.358077,39.5303561,0
-77.358073,39.5303427,0
-77.3580703,39.5303323,0
-77.3580676,39.5303199,0
-77.3580663,39.5303065,0
-77.3580623,39.530294,0
-77.3580582,39.5302806,0
-77.3580556,39.5302682,0
-77.3580529,39.5302558,0
-77.3580502,39.5302423,0
-77.3580475,39.5302289,0
-77.3580448,39.5302165,0
-77.3580435,39.5302041,0
-77.3580422,39.5301916,0
-77.3580395,39.5301782,0
-77.3580368,39.5301668,0
-77.3580341,39.5301544,0
-77.3580314,39.530143,0
-77.3580287,39.5301306,0
-77.3580274,39.5301172,0
-77.358022,39.5301027,0
-77.3580194,39.5300882,0
-77.3580167,39.5300779,0
-77.358014,39.5300623,0
-77.3580113,39.5300489,0
-77.3580596,39.530413,0
-77.3580556,39.5303996,0
-77.3580542,39.5303861,0
-77.3580502,39.5303737,0
-77.3580489,39.5303623,0
-77.3580448,39.5303499,0
-77.3580422,39.5303365,0
-77.3580368,39.530322,0
-77.3580314,39.5303096,0
-77.3580287,39.5302982,0
-77.3580261,39.5302847,0
-77.358022,39.5302723,0
-77.3580194,39.5302589,0
-77.358018,39.5302444,0
-77.3580126,39.5302309,0
-77.3580113,39.5302196,0
-77.3580086,39.5302072,0
-77.3580046,39.5301947,0
-77.3580019,39.5301823,0
-77.3579992,39.5301678,0
-77.3579966,39.5301544,0
-77.3579939,39.530143,0
-77.3579898,39.5301306,0
-77.3579872,39.5301182,0
-77.3579831,39.5301027,0
-77.3579791,39.5300903,0
-77.3579764,39.5300768,0
-77.3579738,39.5300665,0
-77.3579711,39.530053,0
-77.3580274,39.5304213,0
-77.3580247,39.5304099,0
-77.3580207,39.5303975,0
-77.3580194,39.530384,0
-77.3580126,39.5303696,0
-77.3580113,39.5303551,0
-77.3580086,39.5303437,0
-77.3580059,39.5303292,0
-77.3580006,39.5303158,0
-77.3579979,39.5303013,0
-77.3579939,39.5302868,0
-77.3579898,39.5302734,0
-77.3579858,39.5302578,0
-77.3579831,39.5302444,0
-77.3579791,39.530232,0
-77.3579751,39.5302154,0
-77.3579738,39.5302061,0
-77.3579697,39.5301947,0
-77.3579657,39.5301803,0
-77.3579644,39.5301689,0
-77.3579603,39.5301523,0
-77.3579577,39.5301379,0
-77.3579563,39.5301254,0
-77.3579523,39.530112,0
-77.3579469,39.5301016,0
-77.3579456,39.5300903,0
-77.3579429,39.530081,0
-77.3579416,39.5300717,0
-77.3579389,39.5300634,0
-77.3579952,39.5304275,0
-77.3579939,39.5304151,0
-77.3579912,39.5304027,0
-77.3579872,39.5303913,0
-77.3579845,39.5303778,0
-77.3579805,39.5303654,0
-77.3579764,39.530352,0
-77.3579724,39.5303385,0
-77.3579684,39.5303261,0
-77.357967,39.5303158,0
-77.3579644,39.5303003,0
-77.3579617,39.5302878,0
-77.357959,39.5302765,0
-77.3579563,39.530264,0
-77.357955,39.5302506,0
-77.357951,39.5302382,0
-77.3579469,39.5302247,0
-77.3579429,39.5302103,0
-77.3579389,39.5301968,0
-77.3579362,39.5301834,0
-77.3579322,39.5301699,0
-77.3579295,39.5301585,0
-77.3579255,39.5301441,0
-77.3579215,39.5301285,0
-77.3579188,39.5301141,0
-77.3579147,39.5301037,0
-77.3579121,39.5300934,0
-77.3579094,39.530081,0
-77.3579684,39.5304389,0
-77.3579644,39.5304244,0
-77.3579644,39.530412,0
-77.3579577,39.5303975,0
-77.357955,39.5303861,0
-77.3579536,39.5303737,0
-77.3579469,39.5303602,0
-77.3579456,39.5303478,0
-77.3579416,39.5303354,0
-77.3579389,39.530323,0
-77.3579375,39.5303116,0
-77.3579349,39.5303003,0
-77.3579308,39.5302878,0
-77.3579282,39.5302734,0
-77.3579228,39.530262,0
-77.3579188,39.5302485,0
-77.3579161,39.5302361,0
-77.3579121,39.5302196,0
-77.3579094,39.5302072,0
-77.3579054,39.5301947,0
-77.3579013,39.5301823,0
-77.3578987,39.5301689,0
-77.3578973,39.5301565,0
-77.3578933,39.5301441,0
-77.3578893,39.5301327,0
-77.3578852,39.5301213,0
-77.3578826,39.530111,0
-77.3578799,39.5301016,0
-77.3578745,39.5300903,0
